Company Name,Symbol,Discount Percentage,Link
3i,III,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00B1YW4409GBGBXSET1.html
Admiral Group,ADM,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00B02J6398GBGBXSET1.html
Anglo American plc,AAL,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00B1XZS820GBGBXSET1.html
Antofagasta,ANTO,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0000456144GBGBXSET1.html
Ashtead Group,AHT,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0000536739GBGBXSET1.html
Associated British Foods,ABF,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0006731235GBGBXSET1.html
AstraZeneca,AZN,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0009895292GBGBXSET1.html
Auto Trader Group,AUTO,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00BVYVFW23GBGBXSET1.html
Aviva,AV.,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0002162385GBGBXSET1.html
BAE Systems,BA.,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0002634946GBGBXSET1.html
Barclays,BARC,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0031348658GBGBXSET1.html
Barratt Developments,BDEV,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0000811801GBGBXSET1.html
Berkeley Group Holdings,BKG,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00B02L3W35GBGBXSET1.html
BHP,BHP,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00BH0P3Z91GBGBXSET1.html
BP,BP.,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0007980591GBGBXSET1.html
British American Tobacco,BATS,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0002875804GBGBXSET1.html
British Land,BLND,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0001367019GBGBXSET1.html
BT Group,BT.A,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0030913577GBGBXSET1.html
Bunzl,BNZL,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00B0744B38GBGBXSET1.html
Burberry,BRBY,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0031743007GBGBXSET1.html
Carnival Corporation & plc,CCL,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0031215220GBGBXSET1.html
Centrica,CNA,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00B033F229GBGBXSET1.html
Coca-Cola HBC AG,CCH,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/CH0198251305GBGBXSET1.html
Compass Group,CPG,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00BD6K4575GBGBXSET1.html
CRH plc,CRH,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/IE0001827041IEGBXSET1.html
Croda International,CRDA,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00BYZWX769GBGBXSET1.html
DCC plc,DCC,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/IE0002424939IEGBXSET1.html
Diageo,DGE,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0002374006GBGBXSET1.html
Direct Line Group,DLG,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00BY9D0Y18GBGBXSET1.html
easyJet,EZJ,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00B7KR2P84GBGBXSET1.html
Evraz,EVR,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00B71N6K86GBGBXSET1.html
Experian,EXPN,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00B19NLV48JEGBXSET1.html
Ferguson plc,FERG,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/JE00BFYFZP55JEGBXSET1.html
Fresnillo plc,FRES,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00B2QPKJ12GBGBXSET1.html
GlaxoSmithKline,GSK,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0009252882GBGBXSET1.html
Glencore,GLEN,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/JE00B4T3BW64JEGBXSET1.html
GVC Holdings,GVC,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/IM00B5VQMV65IMGBXSET1.html
Halma,HLMA,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0004052071GBGBXSET1.html
Hargreaves Lansdown,HL.,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00B1VZ0M25GBGBXSET1.html
Hikma Pharmaceuticals,HIK,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00B0LCW083GBGBXSET1.html
Hiscox,HSX,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/BMG4593F1389JEGBXSET1.html
HSBC,HSBA,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0005405286GBGBXSET1.html
